Hour,originRegion,destRegion,FareFactor
6,25,6,0.8468990518006189
6,25,7,0.885679733058384
6,25,8,0.9281298947895499
6,25,9,0.8760175425493508
6,25,10,0.871499418566609
6,25,11,0.8404944585817792
6,25,12,0.8810328159821427
6,25,13,0.9549141704242387
6,25,14,0.9228877231232434
6,25,15,0.8448105560529403
6,25,16,0.7880403355190481
6,25,17,0.7621589904031323
6,25,18,0.8044540939801307
6,25,19,0.8552397135704259
6,25,20,0.9591948066772187
6,25,21,0.8235283598422308
6,25,22,0.6973826584895123
6,25,23,0.7484107181395843
6,25,24,0.8073263479233503
6,25,25,1.0385557199561035
7,1,1,1.8260580124799317
7,1,2,1.6861720408021008
7,1,3,1.6306018355374838
7,1,4,1.5055638332608148
7,1,5,1.6731137941084722
7,1,6,1.5218734217211793
7,1,7,1.404051338111627
7,1,8,1.4305334773945846
7,1,9,1.5530307702613184
7,1,10,1.359479307914267
7,1,11,1.1395088477555597
7,1,12,1.331299890950986
7,1,13,1.4119152895957443
7,1,14,1.198746855460092
7,1,15,1.2165739033167595
7,1,16,1.0964594006281045
7,1,17,1.0819537632693952
7,1,18,0.8316182346372162
7,1,19,0.9586049966408675
7,1,20,1.21542726187987
7,1,21,1.259698595393255
7,1,22,0.836557085773149
7,1,23,0.7838839594261416
7,1,24,1.2070233557845307
7,1,25,1.5759594565740271
7,2,1,2.1486630473438186
7,2,2,2.014996035872065
7,2,3,1.8684919600421446
7,2,4,1.4959082932375536
7,2,5,2.08653560428413
7,2,6,2.0858761833819077
7,2,7,1.8665755008577973
7,2,8,1.8488595603238094
7,2,9,1.575177100921263
7,2,10,1.531585333930411
7,2,11,1.2463934198201647
7,2,12,1.7318871920607182
7,2,13,1.8212742575297174
7,2,14,1.761950623817875
7,2,15,1.3268046255158414
7,2,16,1.382547208253831
7,2,17,1.5774798309468727
7,2,18,1.4765306822710873
7,2,19,1.176309305647563
7,2,20,1.483864248277505
7,2,21,1.1995173668398533
7,2,22,0.950708773933131
7,2,23,1.326155000446528
7,2,24,0.9419918373920483
7,2,25,1.7858484297954362
7,3,1,1.3556412566542515
7,3,2,1.2202661807295563
7,3,3,1.4236192106516619
7,3,4,1.2255443123536958
7,3,5,1.371901274895909
7,3,6,1.268439312874178
7,3,7,1.0724123462283073
7,3,8,1.16473168630251
7,3,9,1.1500239399629506
7,3,10,1.1625837186115229
7,3,11,1.1451886614199065
7,3,12,1.118075461867467
7,3,13,1.0990551064771643
7,3,14,1.2111011934208078
7,3,15,1.1315173573259836
7,3,16,1.2101585073718684
7,3,17,0.8879218980571387
7,3,18,0.9163023998128973
7,3,19,0.775322173461924
7,3,20,0.9529272319599645
7,3,21,0.783497929703148
7,3,22,0.9284445534397587
7,3,23,0.0
7,3,24,0.6820847116691677
7,3,25,1.2848207710487682
7,4,1,1.1337613251708296
7,4,2,1.072878415368321
7,4,3,1.3817001116981362
7,4,4,1.5546692403672702
7,4,5,1.2607776872650636
7,4,6,1.122793634709484
7,4,7,1.1696528865989602
7,4,8,1.1008214000025975
7,4,9,1.4213114193533944
7,4,10,1.3808613847341937
7,4,11,1.265594124077257
7,4,12,1.080583088317423
7,4,13,1.0716229156434964
7,4,14,0.9929449335241217
7,4,15,1.010924776925329
7,4,16,1.0459622198104606
7,4,17,1.0252585268618482
7,4,18,0.7816098937091899
7,4,19,0.848652131890293
7,4,20,1.2790976332611346
7,4,21,0.8492296273026618
7,4,22,1.0099746690085938
7,4,23,0.7504547535273107
7,4,24,0.9990880949165166
7,4,25,1.3067195861614498
7,5,1,1.6188487488828995
7,5,2,1.5144766836365438
7,5,3,1.6494516550894764
7,5,4,1.745487660902509
7,5,5,1.8636848750664479
7,5,6,1.590469597259292
7,5,7,1.564840926119011
7,5,8,1.6562264409773504
7,5,9,1.761342944632362
7,5,10,1.5609298980754984
7,5,11,1.3706262222702266
7,5,12,1.63769873287199
7,5,13,1.6604656573346457
7,5,14,1.5658712928600587
7,5,15,1.4208499005964212
7,5,16,1.2796972316472102
7,5,17,1.1178631457775514
7,5,18,1.4025399409484742
7,5,19,1.451656573679632
7,5,20,1.5568236878412753
7,5,21,1.1397720014288728
7,5,22,1.3228493260873488
7,5,23,1.0255756600780952
7,5,24,0.9006509334688338
7,5,25,1.70495741678389
7,6,1,2.112590483475288
7,6,2,2.263793187352318
7,6,3,2.211514371549801
7,6,4,2.042471728970566
7,6,5,2.586655850884631
7,6,6,2.595747384880866
7,6,7,2.4325537823083314
7,6,8,2.4341940297543916
7,6,9,2.2803123834756627
7,6,10,2.054031549171777
7,6,11,1.5828395488589195
7,6,12,2.1360454475741726
7,6,13,2.3238192105577142
7,6,14,2.152258529223865
7,6,15,1.5546840214028859
7,6,16,1.2634680607141877
7,6,17,1.0459279096350158
7,6,18,1.2429391927608062
7,6,19,1.4497087335078624
7,6,20,1.7219705742258447
7,6,21,1.7232468651499153
7,6,22,1.6621881168041281
7,6,23,1.3944093328587568
7,6,24,1.7180995207066836
7,6,25,1.960847307495922
7,7,1,2.462192445974104
7,7,2,2.017903739615543
7,7,3,1.8992962049223887
7,7,4,1.7879122554269287
7,7,5,2.270320990900569
7,7,6,2.602270736671495
7,7,7,2.618378226748991
7,7,8,2.7075843713524703
7,7,9,2.542171830148361
7,7,10,2.2416963445106695
7,7,11,2.1113379991713512
7,7,12,2.2598319866367533
7,7,13,2.4904561793835396
7,7,14,2.2301402802376336
7,7,15,2.1634040016130798
7,7,16,1.889033934124301
7,7,17,1.3103424152373875
7,7,18,1.3901706939341534
7,7,19,1.7646618725976064
7,7,20,1.8330118699390703
7,7,21,1.8516242994969858
7,7,22,1.5540905400603686
7,7,23,1.2311223238078712
7,7,24,1.1122318898837864
7,7,25,1.9396387472447987
7,8,1,2.107708426661118
7,8,2,2.290252808487401
7,8,3,2.0928335627329506
7,8,4,1.7858071025100697
7,8,5,2.3640112212027056
7,8,6,2.452417700062809
7,8,7,2.7048518267978094
7,8,8,2.838612034431335
7,8,9,2.367720046201205
7,8,10,2.692821904348544
7,8,11,2.140302228321813
7,8,12,2.8669563150037187
7,8,13,2.9601483362979413
7,8,14,3.173409902841157
7,8,15,2.702774557204063
7,8,16,2.1687812560935336
7,8,17,2.2998586404393135
7,8,18,1.9493036765634024
7,8,19,2.126000848766655
7,8,20,2.1996771209605885
7,8,21,1.8937518376919091
7,8,22,1.2664143208336702
7,8,23,1.649443001696716
7,8,24,1.5504701258070888
7,8,25,2.172753834643344
7,9,1,1.3953430355126757
7,9,2,1.5294596449534348
7,9,3,1.936893064769654
7,9,4,1.9188845784913533
7,9,5,1.912733394547361
7,9,6,1.9000798831950425
7,9,7,1.8391661247648576
7,9,8,1.8388404760418715
7,9,9,2.0742201288012443
7,9,10,1.853198610198166
7,9,11,1.82724252890222
7,9,12,1.8884092160979493
7,9,13,1.9415134703808343
7,9,14,1.5827379128802477
7,9,15,1.6131730350565312
7,9,16,1.5125531767062776
7,9,17,1.4821322885779584
7,9,18,1.5478884613433186
7,9,19,1.4258185481383276
7,9,20,1.5165807418325183
7,9,21,1.087585636536513
7,9,22,0.9408365650602043
7,9,23,1.2696509491666477
7,9,24,0.9537485204017344
7,9,25,1.701365403236493
7,10,1,1.919105321943891
7,10,2,1.7053048707950698
7,10,3,1.4311207381769604
7,10,4,1.9457903763986006
7,10,5,1.958021373071864
7,10,6,2.0203165434964543
7,10,7,1.8161650198293458
7,10,8,2.2926393999150028
7,10,9,2.3245838610687093
7,10,10,2.4402213643467436
7,10,11,2.076104393923271
7,10,12,2.1929610644493454
7,10,13,2.2628262625052047
7,10,14,1.8602227810340823
7,10,15,1.7896800421309937
7,10,16,1.8774930912796564
7,10,17,2.061120040566378
7,10,18,1.5326306572148864
7,10,19,1.7302649823082226
7,10,20,1.7819447590820137
7,10,21,1.3878676552275329
7,10,22,1.5340150767644745
7,10,23,1.1089228945641545
7,10,24,1.2145837269695359
7,10,25,1.7554414228001494
7,11,1,1.5406168033391974
7,11,2,1.369016911359209
7,11,3,1.568019701819814
7,11,4,1.6428313122698874
7,11,5,1.672007590240692
7,11,6,1.4564841953975693
7,11,7,1.6675228211562976
7,11,8,1.5342185037014977
7,11,9,1.7639885257856989
7,11,10,1.65063993108183
7,11,11,1.9551613083483
7,11,12,1.6727733753678296
7,11,13,1.570472520783201
7,11,14,1.1770502717315299
7,11,15,1.4906653260074099
7,11,16,1.6776655429718683
7,11,17,1.160968532102212
7,11,18,1.267803318645177
7,11,19,1.2545200938151464
7,11,20,1.9378471725873219
7,11,21,1.1138828507843146
7,11,22,1.027777325188141
7,11,23,0.8173797136210821
7,11,24,1.1421021936838616
7,11,25,1.7746219761140976
7,12,1,1.546426867745302
7,12,2,1.5315173368246597
7,12,3,1.55852896660377
7,12,4,1.3616689615652704
7,12,5,1.6485143266139373
7,12,6,1.8133933626714231
7,12,7,2.0011953301738714
7,12,8,2.2936212709515704
7,12,9,1.9810772855502672
7,12,10,2.034664287479325
7,12,11,2.0121963362375044
7,12,12,2.3064791624579644
7,12,13,2.390149024188413
7,12,14,2.372718553031384
7,12,15,2.3405202560630087
7,12,16,2.25349506414735
7,12,17,1.8297679909387912
7,12,18,1.573005866540382
7,12,19,1.8590781094380842
7,12,20,1.9034972328116488
7,12,21,1.540824173022473
7,12,22,1.3297784335789185
7,12,23,1.163098618877617
7,12,24,1.4129006708427798
7,12,25,1.8264904440626204
7,13,1,2.1553961027117112
7,13,2,2.1178827491857115
7,13,3,1.8046057547805427
7,13,4,2.0105357805352395
7,13,5,2.02138199530373
7,13,6,2.2171945685011387
7,13,7,2.59803468763337
7,13,8,2.830980445610041
7,13,9,2.654437293733471
7,13,10,2.2768815849632853
7,13,11,2.045191694610637
7,13,12,2.8092791571379565
7,13,13,2.706587317244732
7,13,14,3.2322911046226
7,13,15,2.673540186867126
7,13,16,2.1779869323659806
7,13,17,2.558235075601499
7,13,18,2.2030951685048183
7,13,19,2.213012966565731
7,13,20,2.2547920045930394
